input_name,output_name
Houlihan Lokey CapitalInc.,Houlihan Lokey Capital Inc.
Hovde Group LLC,Hovde Group LLC
I-Bankers Securities Inc.,I-Bankers Securities Inc.
I-Bankers Securities Inc.,I-Bankers Securities Inc.
I-Bankers SecuritiesInc.,I-Bankers Securities Inc.
IBERIA Capital Partners L.L.C.,IBERIA Capital Partners L.L.C.
ICBC International Securities Limited*,ICBC International Securities Limited*
IFS Securities Inc.,IFS Securities Inc.
ING Financial Markets LLC,ING Financial Markets LLC
ING Financial MarketsLLC,ING Financial Markets LLC
Imperial Capital LLC,Imperial Capital LLC
Imperial CapitalLLC,Imperial Capital LLC
Income on financial assets,Income on financial assets
Ingalls & Snyder LLC,Ingalls & Snyder LLC
Intrepid Partners LLC,Intrepid Partners LLC
Itau BBA USA Securities Inc.,Itau BBA USA Securities Inc.
J & EDavy,J & EDavy
J.J.B. Hilliard W.L. Lyons LLC,J.J.B. Hilliard W.L. Lyons LLC
J.J.B. Hilliard W.L. LyonsLLC,J.J.B. Hilliard W.L. Lyons LLC
J.P. Morgan Securities Inc.,JP Morgan Securities Inc.
J.P. Morgan Securities LLC,JP Morgan Securities Inc.
J.P. Morgan Securities LLC.,JP Morgan Securities Inc.
J.P. Morgan SecuritiesLLC,JP Morgan Securities Inc.
J.P. Turner & Company LLC,JP Morgan Securities Inc.
J.P.Morgan Securities LLC,JP Morgan Securities Inc.
J.P.Morgan SecuritiesLLC,JP Morgan Securities Inc.
J.P.MorganSecuritiesLLC,JP Morgan Securities Inc.
JMP Securities LLC,JMP Securities LLC
JMP SecuritiesLLC,JMP Securities LLC
JMPSecuritiesLLC,JMP Securities LLC
JVB FinancialGroup LLC,JVB FinancialGroup LLC
Janney Montgomery Scott LLC,Janney Montgomery Scott LLC
Janney Montgomery ScottLLC,Janney Montgomery Scott LLC
Jefferies & Company Inc.,Jefferies LLC
Jefferies LLC,Jefferies LLC
Jefferies LLC.,Jefferies LLC
JefferiesLLC,Jefferies LLC
Johnson Rice & Company L.L.C.,Johnson Rice & Company L.L.C.
JonesTrading Institutional ServicesLLC,JonesTrading Institutional ServicesLLC
Joseph Gunnar & Co. LLC.,Joseph Gunnar & Co. LLC.
KBC Securities USA Inc.,KBC Securities USA Inc.
KKR Capital Markets LLC,KKR Capital Markets LLC
Keefe Bruyette & Woods Inc.,Keefe Bruyette & Woods Inc.
Keefe Bruyette & WoodsInc.,Keefe Bruyette & Woods Inc.
KeyBanc Capital Markets Inc.,KeyBanc Capital Markets Inc.
KeyBanc Capital MarketsInc.,KeyBanc Capital Markets Inc.
Keybanc Capital Markets Inc.,KeyBanc Capital Markets Inc.
LOYAL3 Securities Inc.,LOYAL3 Securities Inc.
LUMA Securities LLC,LUMA Securities LLC
Ladenburg Thalmann & Co. Inc.,Ladenburg Thalmann & Co. Inc.
Ladenburg Thalmann & Co. Inc.,Ladenburg Thalmann & Co. Inc.
Ladenburg Thalmann & Co.Inc.,Ladenburg Thalmann & Co. Inc.
LadenburgThalmann & Co. Inc.,Ladenburg Thalmann & Co. Inc.
Laidlaw & Company (UK) Ltd.,Laidlaw & Company (UK) Ltd.
Lake Street Capital Markets LLC,Lake Street Capital Markets LLC
Lake Street CapitalMarkets LLC,Lake Street Capital Markets LLC
Lazard Capital Markets LLC,Lazard Capital Markets LLC
Lazard Frres & Co. Inc.,Lazard Frres & Co. Inc.
Lebenthal & Co. LLC,Lebenthal & Co. LLC
Lebenthal & Co. LLC.,Lebenthal & Co. LLC
Lebenthal & Co.LLC,Lebenthal & Co. LLC
Leerink Partners LLC,Leerink Partners LLC
Leerink PartnersLLC,Leerink Partners LLC
Leerink Swann LLC,Leerink Partners LLC
Leerink SwannLLC,Leerink Partners LLC
LifeSci Capital LLC,LifeSci Capital LLC
LionTree Advisors LLC,LionTree Advisors LLC
Loop Capital Markets LLC,Loop Capital Markets LLC
MCS Capital Markets LLC,MCS Capital Markets LLC
MFR Securities Inc.,MFR Securities Inc.
MLV & Co. LLC,MLV & Co. LLC
MUFG Securities Americas Inc.,MUFG Securities Americas Inc.
MUFG Securities AmericasInc.,MUFG Securities Americas Inc.
Macquarie Capital (USA) Inc.,Macquarie Capital (USA) Inc.
Macquarie Capital (USA)Inc.,Macquarie Capital (USA) Inc.
Macquarie Capital Markets CanadaLtd.(5),Macquarie Capital Markets CanadaLtd.(5)
Maxim Group LLC,Maxim Group LLC
Maxim Group LLC,Maxim Group LLC
MaximGroup LLC,Maxim Group LLC
MaximGroupLLC,Maxim Group LLC
Mediobanca Banca di Credito Finanziario S.p.A,Mediobanca Banca di Credito Finanziario S.p.A
Merrill Lynch Pierce Fenner & Smith Incorporated,Merrill Lynch Pierce Fenner & Smith Incorporated
Merrill Lynch Pierce Fenner & Smith↵Incorporated,Merrill Lynch Pierce Fenner & Smith Incorporated
Merrill Lynch Pierce Fenner & Smith↵Incorporated.,Merrill Lynch Pierce Fenner & Smith Incorporated
Merrill Lynch Pierce Fenner & Smith ↵Incorporated,Merrill Lynch Pierce Fenner & Smith Incorporated
Merrill Lynch Pierce Fenner & Smith Incorporated,Merrill Lynch Pierce Fenner & Smith Incorporated
Merrill Lynch Pierce Fenner & SmithIncorporated,Merrill Lynch Pierce Fenner & Smith Incorporated
Merrill Lynch Pierce Fenner & SmithIncorporated*,Merrill Lynch Pierce Fenner & Smith Incorporated
Merrill Lynch Pierce Fenner and SmithIncorporated,Merrill Lynch Pierce Fenner & Smith Incorporated
MerrillLynch Pierce Fenner & SmithIncorporated,Merrill Lynch Pierce Fenner & Smith Incorporated
MerrillLynchPierceFenner & SmithIncorporated,Merrill Lynch Pierce Fenner & Smith Incorporated
Miller Tabak + Co. LLC,Miller Tabak + Co. LLC
Mischler Financial Group Inc.,Mischler Financial Group Inc.
Mitsubishi UFJ Securities (USA) Inc.,Mitsubishi UFJ Securities (USA) Inc.
Mitsubishi UFJ Securities (USA)Inc.,Mitsubishi UFJ Securities (USA) Inc.
Mitsubishi UFJ Securities(USA) Inc.,Mitsubishi UFJ Securities (USA) Inc.
Mitsubishi UFJSecurities (USA) Inc.,Mitsubishi UFJ Securities (USA) Inc.
Mizuho Securities USA Inc.,Mizuho Securities USA LLC
Mizuho Securities USA LLC,Mizuho Securities USA LLC
Mizuho Securities USAInc.,Mizuho Securities USA LLC
Mizuho Securities USALLC,Mizuho Securities USA LLC
Moelis & Company LLC,Moelis & Company LLC
Moelis & CompanyLLC,Moelis & Company LLC
Morgan Stanley & Co. Incorporated,Morgan Stanley & Co. LLC
Morgan Stanley & Co. International plc,Morgan Stanley & Co. LLC
Morgan Stanley & Co. Internationalplc,Morgan Stanley & Co. LLC
Morgan Stanley & Co. LLC,Morgan Stanley & Co. LLC
Morgan Stanley & Co. LLC.,Morgan Stanley & Co. LLC
Morgan Stanley & Co.LLC,Morgan Stanley & Co. LLC
Morgan Stanley & Co.LLC.,Morgan Stanley & Co. LLC
Muriel Siebert & Co. Inc.,Muriel Siebert & Co. Inc.
NA,NA
National Bank Financial Inc.,National Bank Financial Inc.
National Bank FinancialInc.,National Bank Financial Inc.
National Bank of Canada FinancialInc.,National Bank of Canada Financial Inc.
National Securities Corporation,National Securities Corporation
Natixis,Natixis
Natixis Securities Americas LLC,Natixis
Natixis Securities AmericasLLC,Natixis
Needham & Company LLC,Needham & Company LLC
Needham & CompanyLLC,Needham & Company LLC
Needham and Company LLC,Needham & Company LLC
Newbridge Securities Corp.,Newbridge Securities Corp.
Newbridge Securities Corporation,Newbridge Securities Corp.
Nomura Securities International Inc.,Nomura Securities International Inc.
Nomura Securities International Inc.(1),Nomura Securities International Inc.
Nomura Securities InternationalInc.,Nomura Securities International Inc.
Northland Capital Markets(1),Northland Securities Inc.
Northland Securities Inc.,Northland Securities Inc.
Northland SecuritiesInc.,Northland Securities Inc.
Oppenheimer & Co. Inc.,Oppenheimer & Co. Inc.
Oppenheimer & Co. Inc.*,Oppenheimer & Co. Inc.
Oppenheimer & Co.Inc.,Oppenheimer & Co. Inc.
Options issued and outstanding,Options issued and outstanding
Options to purchase ordinary shares,Options to purchase ordinary shares
Other finance Income,Other finance Income
PJT Partners LP,PJT Partners LP
PNC Capital Markets LLC,PNC Capital Markets LLC
PNC Capital MarketsLLC,PNC Capital Markets LLC
PNCCapitalMarketsLLC,PNC Capital Markets LLC
PT Mandiri Sekuritas,PT Mandiri Sekuritas
Pacific Crest Securities LLC,Pacific Crest Securities LLC
Pacific Crest Securities LLC.,Pacific Crest Securities LLC
Pacific Crest Securities a division of KeyBanc Capital Markets Inc.,Pacific Crest Securities LLC
Pacific Crest Securities a division of KeyBanc Capital MarketsInc.,Pacific Crest Securities LLC
Pacific Crest SecuritiesLLC,Pacific Crest Securities LLC
Panmure Gordon (UK) Limited,Panmure Gordon (UK) Limited
Pareto Securities AS,Pareto Securities AS
Penserra Securities LLC,Penserra Securities LLC
Petercam NV/SA,Petercam NV/SA
Petrie Partners Securities LLC,Petrie Partners Securities LLC
Piper Jaffray & Co,Piper Jaffray & Co
Piper Jaffray & Co.,Piper Jaffray & Co
Piper Jaffray & Co.*,Piper Jaffray & Co
